file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfComparisons.java,com.github.mauricioaniche.ck.metric.NumberOfComparisons,class,7,7,0,7,6,1,0,3,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,2,0,0,0,1,1,0,1,2,0,0,0,21,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/CKVisitor.java,com.github.mauricioaniche.ck.CKVisitor$ClassInTheStack,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,12,0,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/util/DependencySorter.java,com.github.mauricioaniche.ck.util.DependencySorter,class,3,6,3,3,7,1,0,24,3,0.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,2,1,3,0,0,0,4,7,0,15,2,0,0,10,20,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/LocalFieldsAccessedTest.java,com.github.mauricioaniche.ck.LocalFieldsAccessedTest,class,6,6,0,6,9,2,0,8,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0,0,32,0,19,1,18,0,0,0,0,44,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/FieldUsageTest.java,com.github.mauricioaniche.ck.FieldUsageTest,class,6,6,0,6,7,2,0,9,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0,0,27,12,18,1,17,0,0,0,0,39,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfNumbers.java,com.github.mauricioaniche.ck.metric.NumberOfNumbers,class,7,7,0,7,4,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,1,1,0,0,0,20,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/CKMethodResult.java,com.github.mauricioaniche.ck.CKMethodResult,class,2,68,66,2,83,1,0,12,2424,0.96759236,0.025821596,0.10915493,72,0,72,0,0,0,72,0,0,0,36,0,0,36,0,0,0,0,4,277,42,0,11,0,0,5,6,47,2,40,1,0,0,0,106,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/util/DependencySorterTest.java,com.github.mauricioaniche.ck.util.DependencySorterTest$MM1,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/ResultWriter.java,com.github.mauricioaniche.ck.ResultWriter,class,5,6,1,5,12,1,0,107,0,0.4375,0.5,0.5,4,0,4,0,0,0,4,0,0,0,8,3,0,8,0,0,4,0,2,63,0,5,0,0,0,94,0,15,2,15,3,0,0,0,89,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/util/JDTUtils.java,com.github.mauricioaniche.ck.util.JDTUtils,class,10,16,6,10,35,1,0,39,78,0.0,0.0,0.0,13,13,11,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,19,92,19,2,13,0,3,15,8,20,8,19,3,0,0,2,75,1,0
