file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,popBlock/0,false,164,0,1,1,0,2,1,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,visit/1[T],false,17,11,1,0,1,10,1,11,0,0,1,1,1,2,0,0,0,0,0,0,0,0,9,0,0,0,19,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,internalVisit/1[com.github.mauricioaniche.ck.metric.ForStatement],false,60,2,2,0,2,2,5,11,0,1,1,5,2,1,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,internalVisit/1[com.github.mauricioaniche.ck.metric.IfStatement],false,133,2,2,0,2,2,5,11,0,1,1,5,2,1,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,setUp/0,false,14,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,doesNotUnderstandWhenNotResolvable/0,false,31,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,10,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,staticInvocationsToMethodsInTheSameClass/0,false,25,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,12,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,staticInvocations/0,false,19,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfParameters.java,com.github.mauricioaniche.ck.metric.NumberOfParameters,visit/1[T],false,12,2,0,0,0,3,2,3,0,0,1,2,0,0,0,1,0,0,0,1,1,0,1,0,0,0,10,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfParameters.java,com.github.mauricioaniche.ck.metric.NumberOfParameters,setResult/1[com.github.mauricioaniche.ck.CKMethodResult],false,18,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,setUp/0,false,15,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,mediumCohesion2/0,false,38,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,3,1,1,0,0,0,0,10,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,hugeClassCohesion/0,false,50,3,3,0,3,2,5,5,0,2,0,5,0,0,0,0,0,0,2,1,2,1,0,0,0,0,16,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,mediumCohesion1/0,false,32,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,3,1,1,0,0,0,0,10,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,highCohesion/0,false,20,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,9,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,mediumCohesion3/0,false,44,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,3,1,1,0,0,0,0,10,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,noVisibleMethods/0,false,57,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,10,1,0,false
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,noCohesion/0,false,26,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,9,1,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,"coupleTo/2[com.github.mauricioaniche.ck.metric.Type,com.github.mauricioaniche.ck.metric.CouplingExtras.CouplingClassification]",false,191,12,2,0,2,12,12,35,1,5,2,12,2,2,0,3,0,0,0,0,3,0,4,0,0,2,21,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisit/1[com.github.mauricioaniche.ck.metric.InstanceofExpression],false,125,2,1,0,1,2,4,6,0,0,1,4,1,2,0,1,0,0,0,0,0,0,1,0,0,0,8,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,internalVisit/1[com.github.mauricioaniche.ck.metric.MethodInvocation],false,132,6,1,0,1,7,6,19,0,4,1,6,1,2,1,4,0,0,0,0,5,0,4,0,0,0,19,2,0,false
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,"coupleTo/2[com.github.mauricioaniche.ck.metric.SimpleName,com.github.mauricioaniche.ck.metric.CouplingExtras.CouplingClassification]",false,221,3,1,0,1,2,2,5,0,0,2,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,8,2,0,false
