file,class,method,variable,usage
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,endVisit/1[com.github.mauricioaniche.ck.metric.Block],pop,3
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,endVisit/1[com.github.mauricioaniche.ck.metric.Block],node,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,endVisit/1[com.github.mauricioaniche.ck.metric.SwitchStatement],node,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,containsBlock/1[com.github.mauricioaniche.ck.metric.Statement],body,1
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,visit/1[com.github.mauricioaniche.ck.metric.IfStatement],node,2
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,visit/1[com.github.mauricioaniche.ck.metric.IfStatement],containsBlock,2
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,endVisit/1[com.github.mauricioaniche.ck.metric.EnhancedForStatement],node,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,doesNotUnderstandWhenNotResolvable/0,a,1
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,staticInvocationsToMethodsInTheSameClass/0,a,1
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NOSITest.java,com.github.mauricioaniche.ck.NOSITest,staticInvocations/0,a,1
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfParameters.java,com.github.mauricioaniche.ck.metric.NumberOfParameters,setResult/1[com.github.mauricioaniche.ck.CKMethodResult],result,1
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfParameters.java,com.github.mauricioaniche.ck.metric.NumberOfParameters,visit/1[com.github.mauricioaniche.ck.metric.MethodDeclaration],node,2
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,mediumCohesion2/0,ckClass,1
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,hugeClassCohesion/0,ckClass,1
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/TightClassCohesionTest.java,com.github.mauricioaniche.ck.TightClassCohesionTest,hugeClassCohesion/0,reportHuge,1
